ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7,angle,turn,move
100,32.426406871192896,100,32.42640687119281,20.0,32.42640687119277,20.0,32.42640687119277,46.73570458892837,0,5
100,32.42640687119277,100,39.497474683058286,25.0,32.42640687119277,20.0,32.42640687119277,47.035034456859904,0,5
100,32.42640687119277,100,46.56854249492376,30.0,32.42640687119277,20.0,32.42640687119277,47.3373058591238,0,5
100,32.42640687119277,100,53.639610306789244,35.0,32.42640687119277,20.0,32.42640687119277,47.64254529406472,0,5
100,32.42640687119277,100,60.71067811865471,40.0,32.42640687119277,20.0,32.42640687119277,47.95077910900636,0,5
95.0,32.42640687119277,100,67.78174593052019,45.0,32.42640687119277,20.0,32.42640687119277,48.262033477396756,0,5
90.0,32.42640687119277,100,74.8528137423857,50.0,32.42640687119277,20.0,32.42640687119277,48.576334374997344,0,5
85.0,32.42640687119277,20.0,81.92388155425117,55.00000000000001,32.42640687119277,20.0,32.42640687119277,48.89370755509714,0,5
80.0,32.42640687119277,20.0,88.99494936611664,60.0,32.42640687119277,20.0,32.42640687119277,49.214178522734045,0,5
75.0,96.06601717798213,20.0,96.06601717798213,65.0,32.42640687119277,20.0,32.42640687119277,49.537772507906624,0,5
70.0,88.99494936611666,20.0,100,70.0,32.42640687119277,20.0,32.42640687119277,49.864514437760505,0,5
65.0,88.99494936611657,20.0,100,75.0,32.42640687119277,20.0,32.42640687119277,50.19442890773479,0,5
60.0,88.99494936611657,20.0,100,80.0,32.42640687119277,20.0,32.42640687119277,50.527540151656154,0,5
55.0,88.99494936611657,20.0,32.42640687119293,85.0,32.42640687119277,20.0,32.42640687119277,50.863872010768944,0,5
50.0,88.99494936611657,20.0,32.42640687119293,90.0,32.42640687119277,20.0,32.42640687119277,51.20344790169182,0,5
45.0,88.99494936611657,100,32.42640687119293,95.0,32.42640687119277,20.0,32.42640687119277,51.54629078329404,0,5
40.0,88.99494936611657,100,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,51.89242312248513,0,5
35.0,88.99494936611657,100,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,52.2418668589162,5,0
35.17189268945062,81.37851025325944,100,36.67171480581241,100,29.162218679968287,20.114595126300433,36.67171480581241,47.24186685891618,5,0
35.694197534858525,75.45422121330196,100,42.30340386863286,100,26.623237662843707,20.462798356572378,42.30340386863286,42.24186685891618,5,0
36.58742811845374,70.82903768654757,47.955549577344065,50.0,100,24.641016151377492,21.058285412302457,50.00000000000001,37.24186685891618,5,0
37.88799976141605,72.81705541033742,33.857066002446324,100,77.71413200489246,23.101337568874687,21.925333174277334,60.98604749457507,32.24186685891618,5,0
100,92.33315400570797,25.493023747287488,100,60.98604749457507,21.925333174277334,23.10133756887481,77.71413200489273,27.241866858916183,5,0
100,100,24.64101615137751,100,50.00000000000001,21.058285412302457,24.641016151377492,100,22.241866858916183,5,0
100,100,26.623237662843714,100,42.30340386863286,20.462798356572378,26.623237662843714,35.694197534858525,17.241866858916183,5,0
98.90066788022887,100,29.162218679968294,100,36.67171480581241,20.114595126300433,29.162218679968277,35.17189268945062,12.241866858916183,5,0
88.99494936611657,100,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,35.0,7.2418668589161825,5,0
81.37851025325944,100,36.67171480581241,100,29.162218679968287,20.114595126300433,36.67171480581241,35.17189268945062,2.2418668589161825,5,0
75.45422121330196,100,42.30340386863286,100,26.623237662843707,20.462798356572378,42.30340386863286,35.694197534858525,-2.7581331410838175,5,0
70.82903768654757,47.955549577344065,50.0,100,24.641016151377492,21.058285412302457,50.00000000000001,36.58742811845374,-7.7581331410838175,5,0
72.81705541033742,33.857066002446324,100,77.71413200489246,23.101337568874687,21.925333174277334,60.98604749457507,37.88799976141605,-12.758133141083817,5,0
92.33315400570797,25.493023747287488,100,60.98604749457507,21.925333174277334,23.10133756887481,77.71413200489273,100,-17.758133141083817,5,0
100,24.64101615137751,100,50.00000000000001,21.058285412302457,24.641016151377492,100,100,-22.758133141083817,0,5
100,22.588190451025227,100,59.65925826289095,26.058285412302588,30.2177915096297,35.247682156298076,100,-22.931165836290177,0,5
100,25.176380902050486,100,69.3185165257819,31.058285412302727,35.794566867881905,33.90793619414245,100,-23.10670468604428,0,5
100,27.76457135307574,49.93033704115362,78.97777478867283,36.058285412302865,41.371342226134104,32.56819023198681,100,-23.284801167003877,0,5
100,30.352761804101096,31.270083003308727,88.63703305156378,41.058285412303,46.94811758438631,31.22844426983114,100,-23.46550806910267,0,5
100,32.940952255126305,12.609828965463832,98.29629131445473,46.058285412303135,52.52489294263851,29.888698307675526,100,-23.648879533396098,0,5
100,35.52914270615156,13.567618479085127,100,51.05828541230327,58.10166830089072,28.548952345519858,72.04445042265426,-23.834971091004604,5,0
100,29.688818979207827,13.115751560085046,92.82461246817435,49.88760203022259,61.998568763707866,41.70094445732035,61.520067093935275,-28.834971091004604,5,0
100,25.415386062244014,12.85152831738849,81.75312949394568,49.2030603070337,66.99001711773094,100,53.81925319209561,-33.834971091004604,5,0
100,22.193965549129867,100,73.40716898472702,48.97777478867283,42.658848193255835,100,48.01418725258229,-38.834971091004604,5,0
100,19.717037382829947,100,66.99001711773091,49.2030603070337,38.607399977106766,100,43.55071181549678,-43.834971091004604,5,0
100,17.790410231881907,100,61.99856876370787,49.88760203022259,35.45606509380539,100,40.07889011243779,-48.834971091004604,5,0
100,16.28626279736953,100,58.1016683008907,51.05828541230327,32.995769505385574,100,44.470857293848354,-53.834971091004604,5,0
100,15.117925365629938,100,55.07477441136428,52.76283700019584,31.08474977211955,100,54.44451438218895,-58.834971091004604,0,5
100,13.231037995700277,100,60.258954853299926,57.762837000195674,32.97163714204921,100,58.49095740522516,-59.233599436073064,0,5
100,11.344150625770617,10.585848491223148,65.44313529523558,62.762837000195496,34.85852451197887,100,62.53740042826137,-59.63555746793975,0,5
100,9.457263255841005,8.765997319892122,70.62731573717124,67.76283700019532,44.59575742284829,68.72880128554154,66.58384345129758,-60.04084701712691,0,5
100,7.570375885911344,6.9461461485611355,75.8114961791069,72.76283700019516,55.71326825774958,54.99141418826888,70.6302864743338,-60.449468611111456,-5,0
100,8.387645924675548,6.485912326974939,79.80293980353994,70.51511315643813,45.54325440878074,75.88383743864281,58.15166302687514,-55.449468611111456,-5,0
100,9.439820235551357,6.169824453407829,84.94162621774895,68.97137991299537,43.806655090136005,100,49.409399260227204,-50.449468611111456,-5,0
100,10.787525618913957,5.984996223193979,91.52364905584363,68.06870218579293,47.5369117410228,100,43.01258300553574,-45.449468611111456,-5,0
100,12.5201750432108,5.924168486562422,12.520175043210841,67.77162720439037,52.33263869917486,100,38.19050307544396,-40.449468611111456,-5,0
100,14.773608337484868,5.984996223193979,10.78752561891392,68.06870218579293,58.56982127413986,100,34.482838847699995,-35.449468611111456,0,5
100,77.78524524158227,6.422439540823581,11.356394328363711,73.06870218579304,57.89186994593865,100,33.913970138250235,-35.7248557582202,0,5
100,71.28304613916661,6.859882858453184,11.925263037813503,78.06870218579303,57.213918617737434,100,33.34510142880045,-36.003973401371695,0,5
100,64.78084703675087,7.297326176082786,12.494131747263292,83.06870218579303,56.53596728953621,100,32.77623271935065,-36.28688433877733,0,5
100,64.15712845610207,7.734769493712387,13.063000456713121,88.06870218579313,55.85801596133504,100,32.207364009900864,-36.57365234710892,5,0
100,63.9697033395804,7.667283341515514,14.985311711859472,87.69552116622549,57.451652897729126,100,35.725366406795274,-41.57365234710892,5,0
100,71.3713239732191,7.734769493712387,17.485413650289736,88.06870218579313,64.20105871282212,22.456222383454975,40.30077769273091,-46.57365234710892,5,0
100,81.19007601937572,7.939829664700558,20.80196852909527,89.20263205423247,73.15460354273415,22.83150092958668,46.37037125195968,-51.57365234710892,5,0
100,94.60895766754902,8.290517616026865,25.334566683031017,91.14184599614238,85.39104233245097,23.47329140447728,54.66543331696895,-56.57365234710892,0,5
100,84.94969940465808,6.950771653871236,22.74637623200576,96.14184599614251,95.05030059534194,24.813037366632923,100,-56.97993578729813,0,5
100,75.29044114176713,18.416685588972623,20.1581857809805,100,100,26.152783328788562,100,-57.38999868860458,0,5
100,65.63118287887619,37.07693962681752,17.569995329955244,100,100,27.49252929094422,100,-57.803851438675565,0,5
96.6189136940754,55.971924615985245,100,14.981804878929935,100,100,28.832275253099862,100,-58.22150303625858,0,5
91.61891369407527,46.3126663530943,100,15.222893841218022,100,100,30.1720212152555,100,-58.64296103127941,0,5
86.61891369407513,36.65340809020335,100,20.799669199470227,100,36.30036005449657,31.511767177411144,97.76439540604,-59.06823146429974,0,5
81.61891369407499,34.5813905622301,100,26.376444557722426,100,37.79465250811005,32.8515131395668,92.1876200477878,-59.49731880545613,0,5
76.61891369407486,33.08709810861662,100,31.95321991597463,100,39.288944961723494,34.191259101722444,86.61084468953561,-59.93022589299301,0,5
71.61891369407473,31.592805655003176,99.7604219976344,37.529995274226835,100,40.78323741533697,35.531005063878084,81.03406933128339,-60.366953871508485,0,5
66.61891369407459,30.098513201389704,98.42067603547873,43.10677063247904,100,42.27752986895042,36.87075102603372,75.4572939730312,-60.807502130042735,0,5
61.61891369407446,28.604220747776257,97.08093007332309,48.68354599073125,100,43.771822322563864,100,69.88051861477898,-61.25186824014497,0,5
56.61891369407433,27.10992829416281,95.74118411116744,54.260321348983446,100,45.26611477617734,100,64.3037432565268,-61.70004789406681,0,5
51.61891369407419,25.615635840549334,21.93210552030598,59.837096707235645,100,46.760407229790786,100,58.72696789827457,-62.152034843235356,0,5
46.61891369407405,100,20.592359558150328,65.41387206548785,100,48.254699683404255,100,53.150192540022374,-62.607820837170436,0,5
41.61891369407392,100,19.252613595994685,100,100,49.74899213701771,100,47.573417181770175,-63.06739556301835,0,5
36.61891369407378,100,17.912867633839028,100,100,51.243284590631184,100,46.07648053337326,-63.5307465858819,0,5
31.618913694073647,100,16.573121671683403,100,100,52.737577044244624,100,48.66467098439852,-63.99785929013592,0,5
26.618913694073516,98.97321125902965,15.233375709527731,100,100,54.23186949785808,100,51.252861435423824,-64.4687168219246,0,5
21.61891369407338,97.4789188054162,26.544739819833868,100,100,55.72616195147155,100,53.84105188644909,-64.94330003304458,-5,0
36.52783671748317,43.24752448097121,44.46918470881692,30.237835088905427,100,59.48713165042575,100,45.651738670254986,-59.94330003304458,-5,0
100,37.51417867435925,83.43502252629254,25.9052877015323,100,64.3044694789124,100,39.65952277579039,-54.94330003304458,-5,0
100,33.192239346171874,83.07947405677545,22.63930522352983,79.45847466368946,70.49777976631778,100,35.1424407069904,-49.94330003304458,-5,0
100,29.869129801346258,83.43502252629254,20.128113667669886,79.80019150378043,78.55261844730065,100,37.51417867435923,-44.94330003304458,-5,0
100,27.284318032582124,84.51537497757859,18.17483545049075,80.83851583221697,89.23790856078244,100,43.24752448097121,-39.94330003304458,0,5
100,21.273176634119277,85.39700988112094,19.234761863893365,85.83851583221696,87.72417676618815,100,34.6627248745115,-40.28335507715178,0,5
100,15.262035235656437,86.27864478466329,23.659946556792207,90.83851583221694,86.21044497159383,100,26.847914104584074,-40.62824020006582,0,5
100,9.25089383719359,87.1602796882056,32.24474616325193,95.83851583221694,84.69671317699957,100,25.787987691181428,-40.97803351423897,0,5
100,10.141060332966124,88.04191459174797,40.82954576971164,100,83.18298138240529,100,24.728061277778817,-41.33281390742127,0,5
100,11.654792127560402,24.09958912648638,49.41434537617137,100,81.66924958781095,100,23.66813486437617,-41.69266100277957,0,5
100,13.16852392215468,3.4939223885443194,57.99914498263109,100,80.15551779321667,100,22.608208450973525,-42.05765511475124,0,5
100,70.66054945664415,4.375557292086661,66.58394458909082,100,78.6417859986224,100,21.54828203757091,-42.42787720037836,0,5
100,64.64940805818131,5.2571921956290035,75.16874419555053,100,77.12805420402807,15.359872279800793,20.488355624168264,-42.803408805856066,0,5
100,58.63826665971846,6.138827099171345,9.402554339692628,100,80.0624298792709,14.47823737625845,19.428429210765618,-43.18433200802224,0,5
100,52.627125261255614,93.33172401300199,10.462480753095242,100,86.07357127773373,13.596602472716109,18.368502797363007,-43.57072935050792,0,5
100,46.615983862792774,94.21335891654434,11.522407166497887,100,92.08471267619657,12.714967569173766,17.30857638396036,-43.96268377425736,0,5
100,40.60484246432993,95.09499382008669,12.582333579900533,100,98.09585407465943,11.833332665631424,16.248649970557715,-44.3602785421233,0,5
100,34.59370106586709,95.97662872362903,13.642259993303147,100,25.97322534052918,10.951697762089083,15.188723557155068,-44.76359715723498,0,5
100,33.9956122570145,96.85826362717138,22.07073409704293,100,24.459493545934855,10.070062858546741,14.128797143752456,-45.172723274831924,0,5
100,35.50934405160883,97.73989853071372,30.65553370350265,100,22.945761751340576,9.188427955004398,13.06887073034981,-45.58774060725227,0,5
100,37.023075846203106,98.62153343425605,39.24033330996237,100,21.432029956746298,8.306793051462057,100,-46.008732821762464,0,5
100,38.536807640797385,99.5031683377984,47.825132916422085,100,19.91829816215202,7.425158147919714,100,-46.435783430914285,0,5
100,40.050539435391705,58.580204671390604,56.40993252288181,100,18.404566367557695,6.543523244377372,100,-46.86897567511534,0,5
100,41.564271229985984,30.2237955733021,64.99473212934153,100,16.890834572963417,7.363909258134529,100,-47.30839239710224,0,5
100,43.07800302458026,20.913944097565828,100,100,15.377102778369139,35.720318356223025,100,-47.7541159080119,0,5
