ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7,angle,turn,move
100,100,35.550461688789234,33.932172306660895,87.68328032401409,100,100,100,-2.7197353847066097,0,5
100,100,37.881999979564235,36.18087710859521,92.68328032401406,100,100,100,-2.787437759521424,0,5
100,100,40.21353827033923,38.4295819105295,97.68328032401409,100,100,86.7748805509664,-2.8585939434796046,0,5
100,100,42.545076561114236,40.678286712463816,100,100,100,73.52554707276697,-2.933474909085362,0,5
100,100,44.876614851889265,42.926991514398125,100,100,100,60.27621359456759,-3.01238070906885,0,5
100,100,47.208153142664266,45.17569631633244,100,100,100,47.026880116368204,-3.095644481044644,0,5
98.93687799123565,100,49.53969143343927,47.42440111826674,100,100,100,38.99337612932448,-3.1836371319852788,0,5
93.93687799123566,100,51.87122972421427,49.67310592020106,100,100,100,36.744671327390165,-3.276772840912713,0,5
88.93687799123552,100,54.202768014989275,51.92181072213537,100,100,100,34.49596652545585,-3.3755155513399018,0,5
83.93687799123549,100,56.53430630576428,54.170515524069685,100,100,100,32.24726172352153,-3.4803866673028097,0,5
78.93687799123552,100,58.86584459653931,56.419220326003995,100,100,100,29.998556921587213,-3.5919742212392975,0,5
73.93687799123549,100,61.19738288731431,58.6679251279383,100,100,100,27.749852119652925,-3.710943852441005,0,5
68.93687799123545,100,63.528921178089305,60.91662992987262,100,100,100,25.501147317718605,-3.838052026784169,0,5
63.93687799123543,100,65.8604594688643,63.16533473180692,100,100,24.477332427384873,23.252442515784296,-3.974162049455856,0,5
58.9368779912354,100,68.1919977596393,65.41403953374125,100,100,22.145794136609855,21.003737713849986,-4.120263582976861,0,5
53.93687799123537,100,70.52353605041431,67.66274433567555,100,100,19.814255845834847,18.755032911915666,-4.27749659786366,0,5
48.9368779912354,100,72.85507434118934,69.91144913760985,100,100,17.482717555059864,16.50632810998139,-4.447180974058256,5,0
100,100,69.91144913760984,72.8550743411893,100,100,16.50632810998139,17.482717555059864,-9.447180974058256,5,0
100,100,67.74116503273603,76.70900269527375,100,100,15.786453008272233,18.761051142651446,-14.447180974058256,5,0
100,100,66.25061728163459,81.67064843999628,100,100,15.292043906939908,20.406810436149353,-19.447180974058256,5,0
100,100,65.37903907214401,88.02590403917007,100,28.749659380065044,15.002944682190714,22.51482489405781,-24.447180974058256,5,0
100,96.19640635451587,65.0921990709204,96.19640635451596,100,25.224949882793545,14.907800929079599,25.224949882793545,-29.447180974058256,5,0
100,88.02590403917002,65.37903907214401,100,100,22.51482489405781,15.002944682190714,28.749659380065044,-34.447180974058256,0,5
100,87.45703532972028,64.94159575451442,100,100,23.0836936035076,15.440387999820317,29.42761070826626,-35.777337863388766,0,5
100,86.88816662027045,64.50415243688481,100,100,23.652562312957393,15.87783131744992,30.10556203646748,-37.19908334535023,0,5
100,86.31929791082067,64.06670911925518,100,100,24.221431022407202,16.31527463507955,30.783513364668757,-38.72026978654003,0,5
100,85.75042920137082,63.62926580162556,100,100,24.790299731857054,16.75271795270918,31.461464692869995,-40.34932269541531,0,5
100,85.18156049192105,63.19182248399592,100,100,25.359168441306867,17.19016127033881,32.13941602107128,-42.09520348276271,0,5
100,84.6126917824711,62.75437916636627,100,100,25.92803715075669,17.627604587968456,100,-43.9673324659376,0,5
100,84.04382307302133,62.31693584873663,100,100,26.496905860206553,18.0650479055981,100,-45.9754575510064,0,5
100,83.47495436357147,61.879492531107,100,100,27.065774569656362,18.502491223227732,100,-48.12945103564971,0,5
100,82.9060856541217,61.442049213477375,100,100,27.63464327910618,18.93993454085736,100,-50.43901456672285,0,5
100,82.33721694467184,61.00460589584773,100,100,28.203511988556038,19.37737785848701,100,-52.913271485367034,0,5
100,81.76834823522196,60.56716257821808,99.36525869576235,100,28.77238069800586,19.814821176116652,100,-55.56022816916061,0,5
100,81.19947952577216,60.129719260588445,98.68730736756106,100,29.341249407455713,100,100,-58.38609366139099,0,5
100,80.63061081632235,59.69227594295882,98.00935603935983,100,29.910118116905526,100,100,-61.394462303567025,0,5
100,80.06174210687253,59.254832625329186,97.33140471115853,100,30.478986826355346,100,100,-64.58538931201639,0,5
100,79.4928733974227,58.817389307699536,96.6534533829573,100,31.04785553580521,100,100,-67.9544245856315,0,5
100,78.92400468797281,58.37994599006991,95.97550205475602,100,31.61672424525502,100,100,-71.49171217358287,0,5
100,78.35513597852301,57.94250267244028,95.29755072655473,100,32.18559295470483,100,100,-75.181302922785,-5,0
100,85.71957551275837,57.68396093736925,85.71957551275837,100,35.70178072455113,100,100,-70.181302922785,-5,0
100,95.29755072655465,57.94250267244028,78.35513597852305,100,40.274831959486505,100,100,-65.181302922785,-5,0
100,100,58.72809513363996,72.62685957906344,100,46.34129475090983,100,100,-60.181302922784994,-5,0
100,100,60.071592554264896,68.15470613402053,100,54.632078125261515,86.66651812307286,100,-55.181302922784994,-5,0
100,100,62.02776678267628,64.68098796621307,100,66.46626279121486,63.1510596736292,100,-50.181302922784994,-5,0
100,100,64.68098796621304,62.02776678267627,100,84.4857772071619,49.20031900881256,100,-45.181302922784994,-5,0
100,100,68.1547061340205,60.0715925542649,100,100,40.03827182799842,100,-40.181302922784994,-5,0
100,100,72.62685957906344,58.72809513363996,100,100,33.61953233847057,100,-35.181302922784994,-5,0
100,100,78.35513597852301,57.94250267244028,95.29755072655473,100,32.18559295470483,100,-30.181302922784994,-5,0
100,100,85.71957551275837,57.68396093736925,85.71957551275837,100,35.70178072455113,100,-25.181302922784994,-5,0
100,100,95.29755072655465,57.94250267244028,78.35513597852305,100,40.274831959486505,100,-20.181302922784994,-5,0
100,100,100,58.72809513363996,72.62685957906344,100,46.34129475090983,100,-15.181302922784994,-5,0
100,100,100,60.071592554264896,68.15470613402053,100,54.632078125261515,86.66651812307286,-10.181302922784994,0,5
100,100,100,64.55446991510517,73.15470613402051,100,45.971824087417126,100,-10.917735479960186,0,5
100,100,100,69.03734727594542,78.15470613402051,100,37.311570049572744,100,-11.767393964784674,0,5
100,100,100,73.52022463678567,83.15470613402049,100,28.65131601172842,100,-12.758088305354875,0,5
100,100,100,78.00310199762589,88.15470613402046,100,30.43661509347102,100,-13.927340621215421,0,5
100,100,100,82.48597935846615,93.15470613402046,100,33.32336643941915,100,-15.326905278595973,0,5
100,100,100,86.9688567193064,98.15470613402043,100,36.210117785367274,100,-17.029970002528103,0,5
100,100,100,91.45173408014664,100,100,39.09686913131541,100,-19.142985393253127,0,5
99.96172817200159,100,100,95.93461144098688,100,100,41.98362047726352,100,-21.825712351148013,0,5
94.96172817200159,100,100,100,100,100,44.87037182321166,100,-25.326146023947672,0,5
89.96172817200159,100,100,100,100,100,47.75712316915979,100,-30.042145556505545,0,5
84.9617281720016,100,100,100,100,44.371810427483084,50.64387451510791,100,-36.62642966855174,0,5
79.96172817200157,100,100,100,100,46.96000087850829,53.53062586105604,100,-17.962688765980488,0,5
74.96172817200159,100,100,100,100,49.5481913295335,56.41737720700417,100,-18.165186653387877,0,5
69.96172817200159,100,100,100,100,52.13638178055871,59.30412855295231,100,-18.3721430035979,0,5
64.96172817200157,100,100,100,100,54.72457223158391,62.19087989890043,100,-18.58370111759308,0,5
59.96172817200158,100,100,100,100,57.31276268260912,100,100,-18.800010238287086,0,5
54.961728172001585,100,100,100,100,59.900953133634324,100,100,-19.021225845577646,0,5
49.96172817200157,100,100,100,100,62.48914358465954,100,100,-19.247509967947167,0,5
44.96172817200158,100,100,100,100,65.07733403568474,100,100,-19.479031511595394,0,5
39.961728172001585,100,100,100,100,67.66552448670994,100,100,-19.71596660814089,0,5
34.96172817200159,100,100,100,100,70.25371493773515,100,100,-19.958498981988328,0,5
29.96172817200158,100,100,100,100,72.84190538876037,100,100,-20.206820338515172,0,5
24.961728172001585,97.11390120630007,100,100,100,75.43009583978557,100,100,-20.461130774292712,0,5
19.961728172001568,80.38357513154364,100,100,100,78.01828629081078,100,100,-20.72163921061656,-5,0
25.44774431728759,58.396528874100476,100,100,100,80.47547467478647,100,100,-15.721639210616559,-5,0
33.80111633289421,45.35253141249969,100,100,100,83.80823725677763,100,100,-10.721639210616559,-5,0
47.88161408317828,36.78598121699616,98.68418798710493,100,100,88.17164201243361,100,100,-5.721639210616559,-5,0
76.27135791044806,30.78443451638043,96.6003631316857,100,100,93.78920068226675,100,100,-0.7216392106165586,-5,0
100,26.39303287116233,95.38187393196957,100,100,100,100,100,4.278360789383441,-5,5
100,16.01161677113897,94.98086408600079,100,100,100,100,100,9.400075432151652,-5,5
100,13.984038533750136,95.81931724959917,100,100,100,100,100,14.590240368469495,-5,5
100,18.39182828303413,38.88031920069341,100,100,100,85.08894287789731,100,19.849887476240156,-5,5
100,25.1579578271726,8.199098145166976,100,100,100,75.32851989584125,100,25.17935622244042,-5,5
100,35.64185075856795,10.52700979399198,100,100,100,75.89076745359918,100,30.57818728144281,-5,5
100,52.57576156425044,13.614682831862742,100,100,100,76.72310906438643,100,36.04502078739722,-5,5
100,100,17.599849651601268,14.745348233151708,100,100,77.8702041863238,100,41.57750588882601,-5,5
100,100,22.680200589511756,17.18302434032628,100,100,79.39725828663389,100,47.172229272890206,-5,5
100,100,29.141320635425345,20.098525144272976,100,100,81.3994082978024,100,52.82467083531998,-5,5
100,100,37.40376696542469,23.519525075038587,100,100,84.01758927188482,100,58.52919445032022,0,5
100,100,42.403766965424566,27.055058980971353,100,100,79.01758927188477,100,59.24448483817952,0,5
100,100,47.403766965424765,30.59059288690412,100,100,74.01758927188475,100,59.97056261799558,0,5
100,100,100,34.126126792836885,100,100,70.56760225333375,100,60.707435178426095,0,5
100,100,100,37.66166069876965,100,100,75.56760225333379,100,61.45509584799039,0,5
100,100,100,41.19719460470242,100,100,80.56760225333383,100,62.21352306529327,0,5
100,100,100,44.732728510635184,100,100,85.56760225333387,100,62.98267955485464,0,5
100,100,100,48.26826241656795,100,100,90.56760225333392,100,63.76251151478172,0,5
100,100,100,51.803796322500716,100,100,95.56760225333394,100,64.552947823059,0,5
100,96.81689866713054,100,55.33933022843348,100,100,100,100,65.35389926974308,0,5
100,93.28136476119778,100,58.87486413436625,100,100,100,100,66.16525782282379,0,5
100,100,100,62.410398040299015,100,100,100,100,66.98689593593548,0,5
100,100,100,65.94593194623178,100,100,100,100,67.81866590645878,0,5
100,100,100,69.48146585216455,100,100,100,100,68.66039929282948,0,5
100,100,100,100,100,100,100,100,69.51190640005221,0,5
100,100,100,100,100,100,100,100,70.37297584248647,0,5
100,100,100,100,100,100,100,100,71.24337419292003,0,5
100,100,100,100,100,100,100,100,72.12284572675318,0,5
100,100,96.06190678568828,100,100,100,100,100,73.01111226977837,0,5
100,100,91.06190678568815,100,100,100,100,100,73.90787315754307,0,5
100,100,86.06190678568818,100,100,100,100,100,74.81280531362236,0,5
100,100,81.06190678568811,100,100,100,100,100,75.72556345330024,0,5
100,100,76.06190678568807,100,100,100,100,100,76.64578041816418,0,5
100,100,71.06190678568804,100,100,100,100,100,77.57306764596213,0,5
100,100,66.06190678568798,100,100,100,100,100,78.50701577876342,0,5
100,100,63.408817599308996,100,100,100,100,100,79.44719541101966,0,5
100,100,68.40881759930896,100,100,100,100,100,80.3931579775578,0,5
100,100,73.40881759930909,100,100,100,100,100,81.34443677987731,0,5
100,100,78.40881759930905,100,100,100,100,100,82.30054814739583,0,5
100,100,83.40881759930916,100,100,100,100,100,83.26099272852326,0,5
100,100,88.40881759930913,100,100,100,100,100,84.22525690467774,0,5
100,100,93.40881759930924,100,100,100,100,100,85.19281431862422,0,5
100,100,98.4088175993092,100,100,100,100,100,86.16312750685617,5,5
100,100,94.26359571009209,100,100,100,100,100,82.12768867798945,5,5
100,100,91.00497321823872,100,100,100,100,100,78.082797223581,5,5
100,100,88.42486135232555,100,100,100,100,100,74.02468939553015,5,5
100,100,86.38174012538431,100,100,100,100,100,69.94951348121813,5,5
100,100,84.77739885402157,100,100,100,100,100,65.85330476219343,5,5
100,100,83.54312213915202,100,100,100,100,100,61.73196028700269,5,5
100,100,82.63123503570073,100,100,100,100,100,57.581213566709636,5,5
100,100,82.00986245316368,100,100,100,100,100,53.39660940908135,5,5
100,100,81.65973714799242,100,100,100,100,100,49.17347925259955,5,5
100,100,81.57241913553408,100,100,100,100,100,44.9069175547659,5,5
100,100,81.74960013215855,100,100,100,100,100,40.59176004332275,5,5
100,92.83950324230344,82.20337617699629,100,100,100,100,100,36.22256496895926,5,5
100,86.38174012538431,82.95754768269056,100,100,100,100,100,31.793598920558907,5,5
100,80.7088428807563,100,100,100,100,100,100,27.29882929637884,5,5
100,75.65712608901126,100,100,100,100,100,100,22.73192618217942,5,5
100,71.10268006016572,100,100,100,100,100,100,18.08627717944765,5,5
100,66.94942586195872,100,100,100,100,100,100,13.355019649222186,5,5
100,63.12107615895434,100,100,100,100,100,100,8.531095860695785,5,5
100,59.55553374866293,100,100,100,100,100,100,3.60733758887298,5,5
100,56.20083312961719,100,100,100,100,100,100,-1.4234123406225194,5,5
100,53.0120502490608,100,100,100,100,100,100,-6.56813343116778,0,5
100,48.52917288822063,100,100,100,100,100,100,-6.719495430104303,-5,0
100,47.40698071389921,100,100,100,100,100,100,-1.7194954301043026,-5,0
100,46.750793587202566,100,100,100,100,100,100,3.280504569895669,-5,0
100,46.53483968407022,69.95233702780081,100,100,100,100,100,8.280504569895669,-5,0
100,46.750793587202566,63.80099182481706,100,100,100,100,100,13.280504569895669,-5,0
100,47.40698071389921,59.0162956660157,100,100,100,100,100,18.28050456989567,0,5
100,44.494856826791924,55.51525797496708,100,100,100,100,100,18.704872759197826,0,5
100,41.58273293968464,52.014220283918426,100,100,100,100,100,19.148656837290275,0,5
100,38.67060905257735,48.5131825928698,100,100,100,100,100,19.613163390051483,0,5
100,35.758485165470056,45.012144901821145,100,100,100,100,100,20.09981299749873,0,5
100,32.84636127836277,41.511107210772494,100,100,100,100,100,20.61015214605257,0,5
100,100,38.01006951972387,100,100,100,100,100,21.145866532464026,0,5
100,100,34.50903182867522,100,100,100,100,100,21.708795925002136,0,5
100,100,31.007994137626564,100,100,100,100,100,22.300950763182357,0,5
100,100,27.506956446577863,100,100,100,100,100,22.924530692227876,0,5
100,100,24.005918755529287,100,100,100,100,100,23.581945241255113,0,5
100,100,20.504881064480585,100,100,100,100,100,24.2758368628528,0,5
100,100,26.103930382159323,100,100,100,100,100,25.00910655330668,0,5
100,100,33.24467041587001,100,100,100,100,100,25.784942262876115,0,5
100,100,40.385410449580796,84.3545124379175,100,100,100,100,26.606850278026258,0,5
100,100,47.52615048329158,67.83903718049311,100,100,100,100,27.4786897034989,0,5
100,100,54.66689051700227,51.323561923068716,100,100,100,100,28.404710079091387,0,5
100,100,61.807630550713064,34.808086665644325,100,100,100,100,29.38959201662405,0,5
100,100,68.94837058442376,35.9814871654186,100,100,100,96.3325046174432,30.438490512866366,0,5
100,100,76.08911061813454,40.14043109017697,100,100,100,92.17356069268484,31.55708025160169,0,5
100,100,83.22985065184533,44.29937501493532,100,100,100,88.01461676792647,32.75160170899795,0,5
100,100,100,48.45831893969369,100,100,100,83.8556728431681,34.02890616398042,0,5
97.83594410163073,100,100,52.61726286445206,100,100,100,79.69672891840972,35.39649671681107,0,5
92.83594410163057,100,100,56.77620678921043,100,100,100,75.53778499365136,36.86256104598914,0,5
87.83594410163049,100,100,60.935150713968795,100,100,100,71.37884106889301,38.43598978459258,0,5
82.83594410163032,100,100,65.09409463872717,100,100,100,67.21989714413463,40.12637196901045,0,5
77.83594410163023,100,100,69.25303856348555,100,100,100,63.060953219376266,41.94395592488246,0,5
72.83594410163006,100,100,73.41198248824391,100,100,100,58.9020092946179,43.89956019598546,0,5
67.83594410162998,100,100,77.57092641300228,100,100,100,54.74306536985953,46.00441483318369,0,5
62.83594410162981,100,100,81.72987033776063,100,100,94.02050838792256,50.58412144510116,48.26990896740841,5,0
67.88544521731106,100,100,80.68135743391763,100,100,82.8202591485301,49.8916181975845,43.26990896740841,5,0
74.37723141114716,100,100,80.33628749143122,100,100,74.37723141114716,49.66371250856878,38.26990896740841,5,0
82.8202591485301,100,100,80.68135743391763,100,100,67.88544521731106,49.8916181975845,33.26990896740841,5,0
94.02050838792256,100,100,81.72987033776063,100,100,62.83594410162981,50.58412144510116,28.269908967408412,5,0
100,100,94.31135980153842,83.52300666655606,100,100,58.8937209553492,51.76842039495635,23.269908967408412,5,0
100,100,89.6750648990928,100,100,100,55.83162294528093,53.4927966750119,18.269908967408412,5,0
100,100,86.13386919637486,100,100,100,53.4927966750119,55.831622945281076,13.269908967408412,5,0
100,100,83.52300666655606,100,100,100,51.76842039495635,58.8937209553492,8.269908967408412,0,5
100,46.56854249492384,100,32.42640687119281,20.0,32.42640687119277,20.0,32.42640687119277,1.735704588928371,0,5
100,39.497474683058364,100,39.497474683058286,25.0,32.42640687119277,20.0,32.42640687119277,1.7496485603038536,0,5
100,32.426406871192896,100,46.56854249492376,30.0,32.42640687119277,20.0,32.42640687119277,1.7638183155794138,0,5
100,32.42640687119277,100,53.639610306789244,35.0,32.42640687119277,20.0,32.42640687119277,1.778219381654651,0,5
100,32.42640687119277,100,60.71067811865471,40.0,32.42640687119277,20.0,32.42640687119277,1.7928574672422144,0,5
100,32.42640687119277,100,67.78174593052019,45.0,32.42640687119277,20.0,32.42640687119277,1.8077384704036206,0,5
100,32.42640687119277,100,74.8528137423857,50.0,32.42640687119277,20.0,32.42640687119277,1.8228684864623972,0,5
100,32.42640687119277,100,81.92388155425117,55.00000000000001,32.42640687119277,20.0,32.42640687119277,1.8382538163178594,0,5
100,32.42640687119277,20.0,88.99494936611664,60.0,32.42640687119277,20.0,32.42640687119277,1.8539009751824267,0,5
100,32.42640687119277,20.0,96.06601717798213,65.0,32.42640687119277,20.0,32.42640687119277,1.8698167017683147,0,5
100,32.42640687119277,20.0,100,70.0,32.42640687119277,20.0,32.42640687119277,1.8860079679506612,0,5
100,32.42640687119277,20.0,100,75.0,32.42640687119277,20.0,32.42640687119277,1.9024819889362732,0,5
100,32.42640687119277,20.0,100,80.0,32.42640687119277,20.0,32.42640687119277,1.9192462339688916,0,5
100,32.42640687119277,20.0,100,85.0,32.42640687119277,20.0,32.42640687119277,1.9363084376045947,0,5
100,32.42640687119277,20.0,100,90.0,32.42640687119277,20.0,32.42640687119277,1.9536766115927549,0,5
100,32.42640687119277,20.0,32.42640687119293,95.0,32.42640687119277,20.0,32.42640687119277,1.9713590574010595,0,5
100,32.42640687119277,20.0,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,1.989364379425382,0,5
100,32.42640687119277,20.0,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,2.0077014989291513,0,5
100,32.42640687119277,20.0,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,2.0263796687588638,0,5
100,32.42640687119277,20.0,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,2.0454084888872046,0,5
100,32.42640687119277,20.0,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,2.0647979228384656,0,5
100,100,20.0,32.42640687119293,100,32.42640687119277,20.0,32.42640687119277,2.0845583150547498,0,5
