,Front,Left,Right,Close,Back
F00000,0.0,0.0,0.0,0.0,0.0
L00000,0.0,0.0,0.0,0.0,0.0
R00000,0.0,0.0,0.0,0.0,0.0
C00000,0.0,0.0,0.0,0.0,0.0
B00000,0.0,0.0,0.0,0.0,0.0
F00001,0.0,0.0,0.0,0.0,0.0
L00001,0.0,0.0,0.0,0.0,0.0
R00001,0.0,0.0,0.0,0.0,0.0
C00001,0.0,0.0,0.0,0.0,0.0
B00001,0.0,0.0,0.0,0.0,0.0
F00010,-0.9923149954593201,0.0,0.017077787868177402,0.0,0.007685004540679831
L00010,-1.4822678994813356,-0.25,0.0,-1.3434836415370006,-0.21566747976058384
R00010,-1.1050207571186696,-0.35331929823137875,-1.1482863300766795,-2.4287107113711572,-0.571011050979391
C00010,0.0,0.0,0.0,0.0,0.0
B00010,0.0,0.0,0.0,0.0,0.0
F00011,-0.8640227312942421,-0.9325652470975164,0.33561004904910563,0.2695658565348439,0.3464761599481601
L00011,-1.553035129312758,-1.057889293800081,-1.5394198639805006,-1.558446037029503,-0.9978220678713263
R00011,-0.6498664406824016,-1.1114616379640427,-0.5740851494497572,-0.530062347750307,-0.8475739870110481
C00011,0.0,0.0,0.0,0.0,0.0
B00011,0.0,0.0,0.0,0.0,0.0
F00100,0.0,0.0,0.0,0.0,0.0
L00100,-0.11239302300179488,-1.514337316731587,-0.030521846944209993,-0.04132016005411834,0.06167431090481446
R00100,-1.1947607150953699,-0.1784421350563294,-0.18668473143774394,-0.16022973997527398,-0.4559062475609235
C00100,0.0,0.0,0.0,0.0,0.0
B00100,0.0,0.0,0.0,0.0,0.0
F00101,0.0675,0.0,0.11098092812171984,0.0,0.1
L00101,0.1,0.0,0.0,0.0,0.0
R00101,0.0,0.0,0.0,0.0,0.0
C00101,0.0,0.0,0.0,0.0,0.0
B00101,0.0,0.0,0.0,0.0,0.0
F00110,0.1333263022767252,-0.2220656737283785,0.2579828801702472,0.09730031213428009,0.18398798498601976
L00110,0.004342476533854445,0.12273175765325964,0.23775000000000002,-1.1419079961943783,0.13783910527212673
R00110,-0.8905223177813844,-1.31827930309066,-0.9515438055795882,-1.9571767237850834,-0.5054189794780499
C00110,0.0,0.0,0.0,0.0,0.0
B00110,0.0,0.0,0.0,0.0,0.0
F00111,0.722655025765228,0.6988375713089786,0.7449417630656845,0.6496628481830204,0.7607949804386911
L00111,-0.6064728910557508,-0.5311926566543157,-0.4796449145905335,-0.3847499999999999,0.13775000000000004
R00111,-0.5227133849997055,-0.23749124096100743,-0.49540195466968884,-0.34999306431750676,-0.2037113978025521
C00111,0.0,0.0,0.0,0.0,0.0
B00111,0.0,0.0,0.0,0.0,0.0
F01000,0.0,0.0,0.0,0.0,0.0
L01000,0.195,0.045000000000000005,0.0,0.0,0.0
R01000,0.0,0.0,-0.09018778759564756,0.0,-0.169264464080184
C01000,0.0,0.0,0.0,0.0,0.0
B01000,0.0,0.0,0.0,0.0,0.0
F01001,0.0,0.0,0.0,0.0,0.0
L01001,0.0,0.0,0.0,0.0,0.0
R01001,0.0,0.0,0.0,0.0,0.0
C01001,0.0,0.0,0.0,0.0,0.0
B01001,0.0,0.0,0.0,0.0,0.0
F01010,0.0,0.0,0.0,0.0,0.0
L01010,-0.09336917392415997,0.13670469222150564,-0.07312670663213211,0.15874321921662282,0.0
R01010,0.0,0.0,0.0,0.0,0.0
C01010,0.0,0.0,0.0,0.0,0.0
B01010,0.0,0.0,0.0,0.0,0.0
F01011,0.0,0.0,0.0,0.0,-0.35540419589198613
L01011,0.0,-0.4052983224558423,0.0,0.0,0.0
R01011,-1.375,-0.24939606115333404,0.0,0.0,-0.2825633965330556
C01011,0.0,0.0,0.0,0.0,0.0
B01011,0.0,0.0,0.0,0.0,0.0
F01100,-1.6459459030358046,-0.40471969453384365,-0.49970494161457235,0.0,0.10062290103590288
L01100,-1.9689552912857442,-1.7763115987162914,-0.947143578748634,-0.6537403565088998,-0.35694782341699527
R01100,-1.0806664122571572,-0.18492572840976274,-0.8547536821703957,-1.4385685717579597,-0.5920034220231458
C01100,0.0,0.0,0.0,0.0,0.0
B01100,0.0,0.0,0.0,0.0,0.0
F01101,-1.6228860422940095,-1.0,-1.0944172227798603,0.0,0.0
L01101,0.0,-1.240309167276953,0.0,0.0,-0.1731302466342236
R01101,0.0,0.0,0.0,0.0,0.0
C01101,0.0,0.0,0.0,0.0,0.0
B01101,0.0,0.0,0.0,0.0,0.0
F01110,-0.0449875528131101,0.0007934263594113131,0.0,0.0,0.0017631696875806957
L01110,-0.2971745993893785,-0.014458315454083867,-0.12756964922215575,-0.17258148204001766,-0.2548994761382019
R01110,-0.16681525115179915,-0.1529010323815252,-0.20201403283461372,0.05029877719977521,-0.26711589474397796
C01110,0.0,0.0,0.0,0.0,0.0
B01110,0.0,0.0,0.0,0.0,0.0
F01111,0.04120761413202515,0.0,0.0,0.1,0.0
L01111,-0.10231211909886323,-1.2149648912838737,-1.7835668361721921,-1.969726249625106,-0.6026243613317883
R01111,-0.7506058559964315,-0.16891065361220792,-0.5252860767411489,-0.3783555740363879,-0.2389732957203552
C01111,0.0,0.0,0.0,0.0,0.0
B01111,0.0,0.0,0.0,0.0,0.0
F10000,0.0,0.0,0.0,0.0,0.0
L10000,0.0,0.0,0.0,0.0,0.0
R10000,0.23794641334469735,0.08775000000000001,0.13551400966748087,0.28525,0.0
C10000,0.0,0.0,0.0,0.0,0.0
B10000,0.0,0.0,0.0,0.0,0.0
F10001,0.0,0.0,0.0,0.0,0.0
L10001,0.0,0.0,0.0,0.0,0.0
R10001,0.2435640628474319,0.3991244263673055,-0.09399220075767964,0.2340480333947867,0.05392487961967172
C10001,0.0,0.0,0.0,0.0,0.0
B10001,0.0,0.0,0.0,0.0,0.0
F10010,0.0,0.0,0.0,0.0,0.0
L10010,0.0,0.0,0.0,0.0,0.0
R10010,0.0,0.0,0.0,0.0,0.0
C10010,0.0,0.0,0.0,0.0,0.0
B10010,0.0,0.0,0.0,0.0,0.0
F10011,0.8104973508997815,0.7439228923992012,0.7060363647337218,0.8445929515178776,0.7917850916926044
L10011,0.061596856895240644,0.20593492902037305,0.1170692381556991,0.1239219848846696,0.04600494085165514
R10011,-0.22755312177016085,0.4679775956060134,0.4045422424643731,0.2803172861679032,0.07624412623840154
C10011,0.0,0.0,0.0,0.0,0.0
B10011,0.0,0.0,0.0,0.0,0.0
F10100,0.0,0.0,0.0,0.0,0.0
L10100,0.0,0.0,0.0,0.0,0.0
R10100,0.0,0.1,0.0,0.0,0.0
C10100,0.0,0.0,0.0,0.0,0.0
B10100,0.0,0.0,0.0,0.0,0.0
F10101,0.14605216323890918,0.0,0.10811250000000003,0.08649007876724377,0.19025000000000003
L10101,0.14500000000000002,0.0,0.0,0.1,0.0
R10101,-0.5686621046576585,-0.0044428808440191425,0.0,0.11215040949556562,0.1
C10101,0.0,0.0,0.0,0.0,0.0
B10101,0.0,0.0,0.0,0.0,0.0
F10110,0.0,0.0,0.0,0.0,0.0
L10110,0.0,0.0,0.0,0.0,0.0
R10110,0.0,0.0,0.0,0.0,0.0
C10110,0.0,0.0,0.0,0.0,0.0
B10110,0.0,0.0,0.0,0.0,0.0
F10111,0.5597604435153243,0.5975524489322586,0.5365298743576934,0.5285604999121185,0.4936991323861923
L10111,-0.376607685825712,0.0675,0.0,-0.2067542759687285,0.1
R10111,-0.3398025395075263,-0.41528791776973184,-0.42485849712911805,-0.43152255993941235,-0.3549449161829874
C10111,0.0,0.0,0.0,0.0,0.0
B10111,0.0,0.0,0.0,0.0,0.0
F11000,0.0,0.0,0.0,0.0,0.0
L11000,0.05298006501134081,0.15648716047964095,0.014423619003307242,0.1856125,-0.05198650443607625
R11000,0.18910678510233347,0.08252836685160354,0.29450633669062176,0.3347180827978011,0.3022692063608394
C11000,0.0,0.0,0.0,0.0,0.0
B11000,0.0,0.0,0.0,0.0,0.0
F11001,0.0,0.0,0.0,0.0,0.0
L11001,0.10217550772694212,0.004834461615426916,-0.2161789086616254,0.0,-0.21895668643940316
R11001,-0.06787344605646725,-0.06319961534026114,0.1,0.045000000000000005,0.0
C11001,0.0,0.0,0.0,0.0,0.0
B11001,0.0,0.0,0.0,0.0,0.0
F11010,0.0,0.0,0.0,0.0,0.0
L11010,0.06284167296336252,0.07995644544107625,0.2645503454745718,0.33912816689352276,0.23903560685460717
R11010,-0.14620868278036991,-0.16702017393486088,-0.08556006153468232,-0.25526425007324083,-0.04745407893672726
C11010,0.0,0.0,0.0,0.0,0.0
B11010,0.0,0.0,0.0,0.0,0.0
F11011,0.2747778895017699,0.6411375099335903,0.31746286023864756,0.5348132577046221,0.41115247768828594
L11011,0.05262463167736575,0.3510525618598168,0.2283758703002035,0.3262684442745864,0.18843326541766448
R11011,0.06672732087831879,0.21594964393369645,0.12275680175519961,0.15578678111222194,-0.0919691936871948
C11011,0.7481072907014505,0.9119487990631543,0.8383759199395934,0.8086676792630579,0.7520983558043595
B11011,0.0,0.0,0.0,0.0,0.0
F11100,5.342639270999134,-0.07903683665292066,0.3323403121051937,0.20483145491858135,0.10728909302348258
L11100,-0.15589255792100132,0.5472586383049833,-0.1813716756931763,0.3784048067078639,0.48950831974409165
R11100,-0.7793572684482747,0.39159350077848076,0.2975587562568797,-0.7288356902885478,0.21205064897220585
C11100,0.0,0.0,0.0,0.0,0.0
B11100,0.0,0.0,0.0,0.0,0.0
F11101,0.21758292396864223,0.31860523920633277,0.23104449115363623,0.1813063784486291,0.2718201813383116
L11101,-0.8281915421122961,-1.5288881681487005,-0.8525579763147703,-0.7982027862652623,-0.6234499761851756
R11101,-0.1947397265531083,0.17953205028893432,0.25562925055821284,0.1931476504842215,0.1991681580414478
C11101,0.39474842066540905,0.41301803694442096,0.29919731571086405,0.2783934189206428,0.33086632548360795
B11101,0.0,0.0,0.0,0.0,0.0
F11110,0.0,0.0,0.0,0.0,0.0
L11110,-1.9851238976848042,-2.1862854302231414,-1.065697519958007,-1.6017932235539842,-1.027151713780823
